Instance,Feasibility_Rate(%),Coverage_Rate(%),Total_Travel_Distance,Avg_Distance_Per_Visit,Distance_Violations,Active_Carers,Workload_Mean,Workload_StdDev,Computation_Time(sec),Sensitivity_Sample_Size,Sensitivity_Violations,Sensitivity_Rate(%),Constraint_Violations
Instance_1,100.0,100.0,4277.631167478119,6.510854136191962,0.0,311,2.112540192926045,1.4601469921683317,0.079629898071289,32.0,0.0,0.0,
Instance_2,22.202084277299505,100.0,35907.43492870982,16.269793805487005,1717.0,457,4.777056277056277,2.2409204956509643,18.491302013397217,441.0,362.0,17.913832199546487,
Instance 3,21.776779987171267,100.0,51117.241074931866,16.394240242120546,,462,6.748917748917749,2.510960587336416,30.11015748977661,,,,2439.0
